Xbox - Chihiro (XEMU)	-dvd_path	.iso, .xbe	.\Emulators\Xemu\Xemu.exe	0	Xbox
XBox - Chihiro (CXBX-Reloaded)	/load	.iso, .xbe	.\Emulators\CXBXR\cxbxr-ldr.exe	0	Xbox
Arcade Namco 246/256 (Play! Arcade)	--arcade	.zip, .7z	.\Emulators\Play!\Play.exe	0	Arcade
Sega Dreamcast/Naomi(Flycast)		.CDI, .GDI, .CHD, .CUE, .zip, .7z 	.\Emulators\Flycast\flycast.exe	0	Sega Dreamcast
Microsoft Xbox 360 ISO (XENIA)	--dvd_path	.iso, .bin	.\Emulators\Xenia\Xenia.exe	0	Xbox 360
PSX (Duckstation PSX)	-bigpicture	 .iso, .mdf, .nrg, .bin, .img, .dump, .gz, .cso, .chd	.\Emulators\Duckstation\duckstation-qt-x64-ReleaseLTCG.exe	0	PlayStation
PS2 (Play! PS2)	--disc	 .iso, .mdf, .nrg, .bin, .img, .dump, .gz, .cso, .chd	.\Emulators\Play!\Play.exe	0	PlayStation 2 (CD)
PS2 (PCSX2)	-fullscreen -batch --	 .iso, .mdf, .nrg, .bin, .img, .dump, .gz, .cso, .chd	.\Emulators\PCSX2\qt-pcsx2.exe	0	PlayStation 2 (CD)
Nintendo 3DS (CITRA)		.cia, .3ds	.\Emulators\Citra\Citra-qt.exe	0	Nintendo 3DS
Nintendo Gamecube/Wii (Dolphin)	-e	.ELF, .DOL, .GCM, .ISO, .WBFS, .CISO, .GCZ, .WAD	.\Emulators\Dolphin\Dolphin.exe	0	Nintendo Gamecube
Fruit Games (MFME)	-e	.gam	.\Emulators\MFME\MFME.exe	0	Fruit Games
Dolphin Triforce (Dolphin.exe)	-e	.iso, .chd	.\Emulators\Dolphin\Dolphin.exe	0	Arcade
Nintendo Wii U (CEMU)	-f -g	.wua, .wud, .wux	.\Emulators\Cemu\Cemu.exe	0	Wii U
Nintendo Switch (Yuzu)	-f -g	.xci, .nsp	.\Emulators\Yuzu\Yuzu.exe	0	Nintendo Switch
Nintendo Switch (Ryujinx)		.xci, .nsp	.\Emulators\Ryujinx\Ryujinx.exe	0	Nintendo Switch
Nokia Ngage (EKA2L1)	--fullscreen --app	.zip	.\Emulators\eka2l1\eka2l1_qt.exe	0	Ngage
86Box (config)	-C	.cfg, .config	.\Emulators\86box\86box.exe	0	Arcade
